"Tipo","SKU","Nombre","Publicado","¿Está destacado?","Visibilidad en el catálogo","Estado del impuesto","¿Existencias?","¿Vendido individualmente?","Categorías","Etiquetas","Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Atributo por defecto 1","Nombre del atributo 2","Valor(es) del atributo 2","Atributo visible 2","Atributo global 2"
"variable","TVDMU08949","MUSC NIMES BCA BAS REG LYCRA ESC V","1","0","visible","taxable","1","0","MUJER, MUJER > MUSCULOSAS","Musculosa, Sin mangas, Escote en V, Basico, Mujer, Taverniti","Talle","S, M, L, XL, 2XL, 3XL, 4XL","1","1",,"Color","601, 602","1","1"
"variable","TVDMU08945","MUSC RENNES BAS NEGRO MORLEY ELAST REG","1","0","visible","taxable","1","0","MUJER, MUJER > MUSCULOSAS","Musculosa, Sin mangas, Escote redondo, Basico, Mujer, Taverniti","Talle","S, M, L, XL, 2XL, 3XL, 4XL","1","1",,"Color","601, 602","1","1"
"variable","TVDMU08963","MUSC LAQUILA NGO BRILLANTE BAS ESC ALTO ENTALLADO ELAS","1","0","visible","taxable","1","0","MUJER, MUJER > MUSCULOSAS","Musculosa, Sin mangas, Entallada, Basico, Mujer, Taverniti","Talle","S, M, L, XL, 2XL, 3XL, 4XL","1","1",,"Color","161, 602","1","1"
"variable","TVDMU08965","MUSC NOVARA NGO BAS ENTALLADO ELAST NOCHE JACKIE","1","0","visible","taxable","1","0","MUJER, MUJER > MUSCULOSAS","Musculosa, Sin mangas, Escote redondo, Basico, Mujer, Taverniti","Talle","S, M, L, XL, 2XL, 3XL, 4XL","1","1",,"Color","602, 677","1","1"
"variable","TVDMU08883","MUSC CHERRY BCO HOLGADO EST ALG","1","0","visible","taxable","1","0","MUJER, MUJER > MUSCULOSAS","Musculosa, Sin mangas, Escote redondo, Estampado, Mujer, Taverniti","Talle","S, M, L, XL, 2XL, 3XL, 4XL","1","1",,"Color","601, 988","1","1"
"variable","TVDR11941","REM MC LAST FLOWER BCO SEMI CORTO  EST  RED","1","0","visible","taxable","1","0","MUJER, MUJER > REMERAS","Remera MC, Escote redondo, Estampado, Mujer, Taverniti","Talle","S, M, L, XL, 2XL, 3XL, 4XL","1","1",,"Color","601, 944","1","1"
"variable","TVDR08957","REM MC CATANIA BCO BOTE LYCRA","1","0","visible","taxable","1","0","MUJER, MUJER > REMERAS","Remera MC, Escote redondo, Print, Mujer, Taverniti","Talle","S, M, L, XL, 2XL, 3XL, 4XL","1","1",,"Color","601, 602, 605","1","1"
"variable","TVDR05665","REM.BAS.NGO JERSEY ALG.ESC.RED.DIONE","1","0","visible","taxable","1","0","MUJER, MUJER > REMERAS","Remera MC, Escote redondo, Basico, Mujer, Taverniti","Talle","S, M, L, XL, 2XL, 3XL, 4XL","1","1",,"Color","516, 601, 602, 677, 788","1","1"
"variable","TVDR08927","REM MC BARIN BCO ESC V HOLGADO  ALG FLAME","1","0","visible","taxable","1","0","MUJER, MUJER > REMERAS","Remera MC, Escote en V, Basico, Mujer, Taverniti","Talle","S, M, L, XL, 2XL, 3XL, 4XL","1","1",,"Color","601, 602","1","1"
"variable","TVDR08959","REM MC BRESCIA NEGRO  ESC V HOLGADO","1","0","visible","taxable","1","0","MUJER, MUJER > REMERAS","Remera MC, Escote redondo, Print, Mujer, Taverniti","Talle","S, M, L, XL, 2XL, 3XL, 4XL","1","1",,"Color","602","1","1"
"variable","TVDR08857","REM MC HONULULU NGO EST RED HOLGADO ALG","1","0","visible","taxable","1","0","MUJER, MUJER > REMERAS","Remera MC, Escote redondo, Estampado, Mujer, Taverniti","Talle","S, M, L, XL, 2XL, 3XL, 4XL","1","1",,"Color","602","1","1"
"variable","TVDR08983","REM MC PEIX VERDE LAGUNA SEMIBOTE HOLGADO EST FULL PRINT","1","0","visible","taxable","1","0","MUJER, MUJER > REMERAS","Remera MC, Escote redondo, Print, Mujer, Taverniti","Talle","S, M, L, XL, 2XL, 3XL, 4XL","1","1",,"Color","675, 682","1","1"
"variable","TVDR08981","REM MC DALMA BCO FULL PRINT FRUTAS RED ALG REG","1","0","visible","taxable","1","0","MUJER, MUJER > REMERAS","Remera MC, Escote redondo, Print, Mujer, Taverniti","Talle","S, M, L, XL, 2XL, 3XL, 4XL","1","1",,"Color","601, 715","1","1"
