"Tipo","SKU","Nombre","Publicado","¿Está destacado?","Visibilidad en el catálogo","Estado del impuesto","¿Existencias?","¿Vendido individualmente?","Categorías","Etiquetas","Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Atributo por defecto 1","Nombre del atributo 2","Valor(es) del atributo 2","Atributo visible 2","Atributo global 2"
"variable","TVDR08873","REM MC HALEIWA AZ NOCHE HOLGADO EST RED","1","0","visible","taxable","1","0","MUJER, MUJER > REMERAS","Remera MC, Escote redondo, Print, Mujer, Taverniti","Talle","S, M, L, XL, 2XL, 3XL, 4XL","1","1",,"Color","633","1","1"
"variable","TVDR08861","REM MC KAPOLEI GRIS METAL SEMIBOTE REG EST","1","0","visible","taxable","1","0","MUJER, MUJER > REMERAS","Remera MC, Escote redondo, Estampado, Mujer, Taverniti","Talle","S, M, L, XL, 2XL, 3XL, 4XL","1","1",,"Color","869, 892","1","1"
"variable","TVDR11947","REM MC SHAPED NGO GASTADO EST  RED","1","0","visible","taxable","1","0","MUJER, MUJER > REMERAS","Remera MC, Escote redondo, Estampado, Mujer, Taverniti","Talle","S, M, L, XL, 2XL, 3XL, 4XL","1","1",,"Color","601, 868, 901","1","1"
"variable","TVDR08691","REM MC YUCA AZABACHE EST HOLGADO BAMBU","1","0","visible","taxable","1","0","MUJER, MUJER > REMERAS","Remera MC, Escote redondo, Estampado, Mujer, Taverniti","Talle","S, M, L, XL, 2XL, 3XL, 4XL","1","1",,"Color","649, 711","1","1"
"variable","TVDR08913","REM MC FRUTIS BCO RED REG EST FLAME","1","0","visible","taxable","1","0","MUJER, MUJER > REMERAS","Remera MC, Escote redondo, Estampado, Mujer, Taverniti","Talle","S, M, L, XL, 2XL, 3XL, 4XL","1","1",,"Color","601, 602","1","1"
"variable","TIDCO03223","CHALECO GINGER NGO ALG","1","0","visible","taxable","1","0","MUJER, MUJER > Chaleco verano","Regular, Basico, Mujer, Taverniti","Talle","S, M, L, XL, 2XL, 3XL, 4XL","1","1",,"Color","602","1","1"
