"Tipo","SKU","Nombre","Publicado","¿Está destacado?","Visibilidad en el catálogo","Estado del impuesto","¿Existencias?","¿Vendido individualmente?","Categorías","Etiquetas","Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Atributo por defecto 1","Nombre del atributo 2","Valor(es) del atributo 2","Atributo visible 2","Atributo global 2"
"variable","TDJ10561536","JEAN LIPA T-ALTO REG 5 BOLS LINEA 747","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Regular, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ10561708","JEAN LIPA T-ALTO REG 5 BOLS LINEA 747","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Regular, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ10561710","JEAN LIPA T-ALTO REG 5 BOLS LINEA 747","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Regular, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ10561918","JEAN LIPA T-ALTO REG 5 BOLS LINEA 747","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Regular, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ10569204","JEAN DIVE T-ALTO CALCE REG.","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Regular, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ11681505","JEAN BRODY T-ALTO REG ELAST","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Regular, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ11687711","JEAN KIKA BOTA SLOUCHYT-MEDIO REG RIG","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Regular, Tiro medio, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ11513601","JEAN RANIA T-MEDIO SLIM ELAST","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Slim, Tiro medio, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ11587236","JEAN MEDIATION T-MEDIO SLIM ELAST","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Slim, Tiro medio, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ10419708","JEAN CLICHY T-ALTO SKINNY ABERTURA BOTA","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Skinny, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ11377711","JEAN SUPREMO T-ALTO CALCE SKINNY","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Skinny, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ11377712","JEAN SUPREMO T-ALTO CALCE SKINNY ELAST","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Skinny, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ11445235","JEAN BIBIER T-ALTO SKINNY ELAST","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Skinny, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ10431525","JEAN DAMA T-MEDIO SKINNY PUSH UP ELAST","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Skinny, Tiro medio, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ10431523","JEAN REAL T-MEDIO CALCE SKINNY PUSH UP","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Skinny, Tiro medio, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ11587236","JEAN MEDIATION T-MEDIO SLIM ELAST","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Slim, Tiro medio, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ11679601","JEAN STILL T-ALTO LOOSE BOT WIDE REG","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Regular, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ11679605","JEAN STILL T-ALTO LOOSE BOT WIDE REG","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Regular, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ11869724","JEAN TANDIS T-ALTO LOOSE BOTA BARREL RIGIDO","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Regular, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
"variable","TDJ11383205","JEAN ROMEO T-ALTO LOOSE BOTA WIDE EUFORICA","1","0","visible","taxable","1","0","MUJER, MUJER > JEANS","Denim, Jean, Mujer, Taverniti","Talle","24/34, 26/36, 28/38, 30/40, 32/42, 34/44, 36/46","1","1",,"Marca","Taverniti","1","1"
