"Código";"Descripción";"Proveedor";"Familia";"Curva de talles";"Categoría";"Clasificación";"Tipo"
"TDCL05243696";"CALZA BCO COMB.NGO 7/8 ELASTZ.";"01";"02";"00";"05";"99";"99"
"TDCL05247602";"CALZA NGO 7/8 ELASTZ.ESTAMP.PIERNA IONA";"01";"02";"00";"05";"99";"02"
"TDCL05247636";"CALZA LILA 7/8 ELASTZ.ESTAMP.PIERNA IONA";"01";"02";"00";"05";"99";"02"
"TDCL06083602";"CALZA ANNA NGO TIRO-ALTO EST";"01";"02";"00";"05";"99";"10"
"TDCL08523835";"CALZA NGO MGE.TERMICA FRISA ELAST.LUCIA";"01";"02";"00";"05";"99";"05"
"TDCL08525602";"CALZA NGO ESLASTZ.SUPER CONFORT JUANA";"01";"02";"00";"05";"99";"99"
"TDCL08525681";"CALZA GRIS ELASTIZ.SUPER CONFORT JUANA";"01";"02";"00";"05";"99";"99"
"TDCL14267109";"CALZA NGO MGE JERSEY ELAST.DAMIKA";"01";"02";"00";"05";"99";"99"
"TDCL14267602";"CALZA NGO TACTEL ELASTZ.DAMIKA";"01";"02";"00";"05";"99";"99"
"TDCL14267681";"CALZA GRIS JERSEY ELAST.DAMIKA";"01";"02";"00";"05";"99";"99"
"TDCL14267935";"CALZA MAGENTA JERSEY ELAST.DAMIKA";"01";"02";"00";"05";"99";"99"
"TDCL15015602";"CALZA NGO JERSEY ELAST.MAITE";"01";"02";"00";"05";"99";"99"
"TDJ01471205";"JEAN DONEY T-ALTO REG";"01";"02";"02";"01";"10";"10"
"TDJ01677568";"JEAN TOUR T-MEDIO SKINNY BOTA IRREGULAR";"01";"02";"02";"01";"12";"08"
"TDJ01801707";"JEAN MOOD T-ALTO REG.";"01";"02";"02";"01";"10";"10"
"TDJ10209708";"JEAN DRAGIA T-MEDIO SKINNY COMBINACION";"01";"02";"02";"01";"12";"08"
"TDJ10257912";"JEAN IRENA T-BAJO SKINNY";"01";"02";"02";"01";"12";"07"
"TDJ10267505";"JEAN LLUNA T-INTER SKINNY 767 LINEA";"01";"02";"02";"01";"12";"09"
"TDJ10279235";"JEAN CHARIS4 T-ALTO REG.";"01";"02";"02";"01";"10";"10"
"TDJ10297712";"JEAN NEGRONI T-ALTO REG.";"01";"02";"02";"01";"10";"10"
"TDJ10301510";"JEAN RETRO T-ALTO BOTA RECTA LOOSE";"01";"02";"02";"01";"99";"10"
"TDJ10345236";"JEAN COYOTE T-ALTO SKINNY C/BOTONES";"01";"02";"02";"01";"12";"10"
"TDJ10349705";"JEAN COLLINS T-ALTO REG.";"01";"02";"02";"01";"10";"10"
"TDJ10353204";"JEAN REASON T-MEDIO MODA SKINNY BORDADO";"01";"02";"02";"01";"12";"08"
"TDJ10353708";"JEAN REASON T-INTER SKINNY 767 LINEA";"01";"02";"02";"01";"12";"09"
"TDJ10367236";"JEAN YOGA T-MEDIO SKINNY JOGGER";"01";"02";"02";"01";"12";"08"
"TDJ10367708";"JEAN PUNCH T-MEDIO SKINNY";"01";"02";"02";"01";"12";"08"
"TDJ10373205";"JEAN GLAND T-MEDIO SKINNY";"01";"02";"02";"01";"12";"08"
"TDJ10391206";"JEAN DUFFLE T-ALTO CALCE SKINNY";"01";"02";"02";"01";"12";"10"
"TDJ10407525";"JEAN FIZZ T-ALTO REG";"01";"02";"02";"01";"10";"10"
"TDJ10417601";"JEAN GOLDEN T-ALTO SKINNY";"01";"02";"02";"01";"12";"10"
"TDJ10419237";"JEAN CLICHY T- ALTO CALCE SKINNY";"01";"02";"02";"01";"12";"10"
"TDJ10419520";"JEAN CLICHY T-ALTO SKINNY ABERTURA BOTA";"01";"02";"02";"01";"12";"10"
